command: mount

/dev/block/sda25 on / type ext4 (ro,seclabel,noatime,i_version)
/dev/block/loop3 on /bootstrap-apex/com.android.tzdata@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop0 on /bootstrap-apex/com.android.virt type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop4 on /bootstrap-apex/com.android.i18n type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop1 on /bootstrap-apex/com.android.vndk.v30 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop3 on /bootstrap-apex/com.android.tzdata type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop2 on /bootstrap-apex/com.android.runtime@1 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop2 on /bootstrap-apex/com.android.runtime type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
tmpfs on /tmp type tmpfs (rw,seclabel,noatime)
tmpfs on /metadata type tmpfs (rw,seclabel,noatime,mode=775,gid=1000)
/sys/kernel/debug on /sys/kernel/debug type debugfs (rw,seclabel,noatime)
none on /config type configfs (rw,seclabel,nosuid,nodev,noexec,noatime)
none on /sys/fs/fuse/connections type fusectl (rw,noatime)
bpf on /sys/fs/bpf type bpf (rw,nosuid,nodev,noexec,noatime)
pstore on /sys/fs/pstore type pstore (rw,seclabel,nosuid,nodev,noexec,noatime)
tmpfs on /mnt/vm type tmpfs (rw,seclabel,nosuid,nodev,noexec,noatime)
adb on /dev/usb-ffs/adb type functionfs (rw,noatime)
tracefs on /sys/kernel/debug/tracing type tracefs (rw,seclabel,noatime,gid=3012)
/dev/block/sda28 on /cache type ext4 (rw,seclabel,nosuid,nodev,noatime,discard,journal_checksum,noauto_da_alloc,errors=panic,i_version,data=ordered)
/dev/block/sda32 on /data type ext4 (rw,seclabel,nosuid,nodev,noatime,discard,journal_checksum,noauto_da_alloc,resgid=1065,errors=panic,i_version,data=ordered)
/dev/block/sda3 on /mnt/vendor/efs type ext4 (rw,seclabel,nosuid,nodev,noatime,journal_checksum,noauto_da_alloc,i_version)
/dev/block/sda7 on /efs type ext4 (rw,seclabel,nosuid,nodev,noatime,journal_checksum,noauto_da_alloc,i_version)
tmpfs on /storage type tmpfs (rw,seclabel,nosuid,nodev,noexec,noatime,mode=755,gid=1000)
none on /mnt/phh type tmpfs (rw,seclabel,nodev,mode=755)
none on /system/usr/keylayout type tmpfs (rw,seclabel,nodev,mode=755)
tmpfs on /persist type tmpfs (rw,seclabel,nosuid,nodev,noexec,noatime,mode=755,gid=1000)
/dev/block/sda25 on /vendor/etc/usb_audio_policy_configuration.xml type ext4 (ro,seclabel,nodev,noatime,i_version)
tmpfs on /linkerconfig type tmpfs (rw,seclabel,nosuid,nodev,noexec,noatime,mode=755)
tmpfs on /data_mirror type tmpfs (rw,seclabel,nosuid,nodev,noexec,noatime,mode=700,gid=1000)
/dev/block/sda32 on /data_mirror/data_ce/null type ext4 (rw,seclabel,nosuid,nodev,noatime,discard,journal_checksum,noauto_da_alloc,resgid=1065,errors=panic,i_version,data=ordered)
/dev/block/sda32 on /data_mirror/data_de/null type ext4 (rw,seclabel,nosuid,nodev,noatime,discard,journal_checksum,noauto_da_alloc,resgid=1065,errors=panic,i_version,data=ordered)
/dev/block/sda32 on /data_mirror/misc_ce/null type ext4 (rw,seclabel,nosuid,nodev,noatime,discard,journal_checksum,noauto_da_alloc,resgid=1065,errors=panic,i_version,data=ordered)
/dev/block/sda32 on /data_mirror/misc_de/null type ext4 (rw,seclabel,nosuid,nodev,noatime,discard,journal_checksum,noauto_da_alloc,resgid=1065,errors=panic,i_version,data=ordered)
/dev/block/sda32 on /data_mirror/storage_area type ext4 (rw,seclabel,nosuid,nodev,noatime,discard,journal_checksum,noauto_da_alloc,resgid=1065,errors=panic,i_version,data=ordered)
/dev/block/sda32 on /data_mirror/cur_profiles type ext4 (rw,seclabel,nosuid,nodev,noatime,discard,journal_checksum,noauto_da_alloc,resgid=1065,errors=panic,i_version,data=ordered)
/dev/block/sda32 on /data_mirror/ref_profiles type ext4 (rw,seclabel,nosuid,nodev,noatime,discard,journal_checksum,noauto_da_alloc,resgid=1065,errors=panic,i_version,data=ordered)
/dev/block/loop5 on /apex/com.android.crashrecovery@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop5 on /apex/com.android.crashrecovery type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop8 on /apex/com.android.virt@3 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop8 on /apex/com.android.virt type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop28 on /apex/com.android.adbd@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop28 on /apex/com.android.adbd type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop19 on /apex/com.android.sdkext@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop19 on /apex/com.android.sdkext type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop29 on /apex/com.android.profiling@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop14 on /apex/com.android.adservices@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop7 on /apex/com.android.wifi@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop6 on /apex/com.android.ondevicepersonalization@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop25 on /apex/com.android.media@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop26 on /apex/com.android.vndk.v29@1 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop29 on /apex/com.android.profiling type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop34 on /apex/com.android.art@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop25 on /apex/com.android.media type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop26 on /apex/com.android.vndk.v29 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop9 on /apex/com.android.vndk.v32@1 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop10 on /apex/com.android.ipsec@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop7 on /apex/com.android.wifi type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop14 on /apex/com.android.adservices type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop6 on /apex/com.android.ondevicepersonalization type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop11 on /apex/com.android.bt@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop21 on /apex/com.android.os.statsd@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop16 on /apex/com.android.runtime@1 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop33 on /apex/com.android.uwb@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop16 on /apex/com.android.runtime type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop34 on /apex/com.android.art type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop10 on /apex/com.android.ipsec type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop12 on /apex/com.android.vndk.v28@1 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop21 on /apex/com.android.os.statsd type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop9 on /apex/com.android.vndk.v32 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop22 on /apex/com.android.vndk.v33@1 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop33 on /apex/com.android.uwb type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop17 on /apex/com.android.scheduling@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop20 on /apex/com.android.rkpd@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop22 on /apex/com.android.vndk.v33 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop17 on /apex/com.android.scheduling type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop12 on /apex/com.android.vndk.v28 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop11 on /apex/com.android.bt type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop36 on /apex/com.android.i18n@1 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop32 on /apex/com.android.apex.cts.shim@1 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop36 on /apex/com.android.i18n type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop13 on /apex/com.android.resolv@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop20 on /apex/com.android.rkpd type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop37 on /apex/com.android.telephonycore@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop15 on /apex/com.android.vndk.v30@1 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop15 on /apex/com.android.vndk.v30 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop13 on /apex/com.android.resolv type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop37 on /apex/com.android.telephonycore type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop23 on /apex/com.android.media.swcodec@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop35 on /apex/com.android.tzdata@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop31 on /apex/com.android.mediaprovider@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop35 on /apex/com.android.tzdata type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop23 on /apex/com.android.media.swcodec type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop38 on /apex/com.android.healthfitness@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop27 on /apex/com.android.uprobestats@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop24 on /apex/com.android.devicelock@1 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop30 on /apex/com.android.tethering@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop27 on /apex/com.android.uprobestats type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop18 on /apex/com.android.vndk.v31@1 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop24 on /apex/com.android.devicelock type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop31 on /apex/com.android.mediaprovider type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop38 on /apex/com.android.healthfitness type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop30 on /apex/com.android.tethering type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop32 on /apex/com.android.apex.cts.shim type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop18 on /apex/com.android.vndk.v31 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop39 on /apex/com.android.compos@3 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop39 on /apex/com.android.compos type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop43 on /apex/com.android.permission@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop43 on /apex/com.android.permission type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop41 on /apex/com.android.extservices@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop41 on /apex/com.android.extservices type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop44 on /apex/com.android.appsearch@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop45 on /apex/com.android.nfcservices@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop44 on /apex/com.android.appsearch type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop45 on /apex/com.android.nfcservices type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop40 on /apex/com.android.cellbroadcast@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop40 on /apex/com.android.cellbroadcast type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop42 on /apex/com.android.conscrypt@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop42 on /apex/com.android.conscrypt type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop47 on /apex/com.android.configinfrastructure@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop47 on /apex/com.android.configinfrastructure type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop46 on /apex/com.android.neuralnetworks@361099999 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop46 on /apex/com.android.neuralnetworks type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop48 on /apex/com.android.vndk.v34@1 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/loop48 on /apex/com.android.vndk.v34 type ext4 (ro,dirsync,seclabel,nodev,noatime,i_version)
/dev/block/sda32 on /data_mirror/data_ce/null/0 type ext4 (rw,seclabel,nosuid,nodev,noatime,discard,journal_checksum,noauto_da_alloc,resgid=1065,errors=panic,i_version,data=ordered)
/dev/block/sda32 on /data/user/0 type ext4 (rw,seclabel,nosuid,nodev,noatime,discard,journal_checksum,noauto_da_alloc,resgid=1065,errors=panic,i_version,data=ordered)
none on /dev/freezer type cgroup (rw,noatime,freezer)
/data/media on /mnt/runtime/default/emulated type sdcardfs (rw,nosuid,nodev,noexec,noatime,fsuid=1023,fsgid=1023,gid=1015,multiuser,mask=6,derive_gid,default_normal)
/data/media on /mnt/runtime/read/emulated type sdcardfs (rw,nosuid,nodev,noexec,noatime,fsuid=1023,fsgid=1023,gid=9997,multiuser,mask=23,derive_gid,default_normal)
/data/media on /mnt/runtime/write/emulated type sdcardfs (rw,nosuid,nodev,noexec,noatime,fsuid=1023,fsgid=1023,gid=9997,multiuser,mask=7,derive_gid,default_normal)
/data/media on /mnt/runtime/full/emulated type sdcardfs (rw,nosuid,nodev,noexec,noatime,fsuid=1023,fsgid=1023,gid=9997,multiuser,mask=7,derive_gid,default_normal)
/dev/fuse on /mnt/installer/0/emulated type fuse (rw,lazytime,nosuid,nodev,noexec,noatime,user_id=0,group_id=0,allow_other)
/dev/fuse on /mnt/androidwritable/0/emulated type fuse (rw,lazytime,nosuid,nodev,noexec,noatime,user_id=0,group_id=0,allow_other)
/dev/fuse on /mnt/user/0/emulated type fuse (rw,lazytime,nosuid,nodev,noexec,noatime,user_id=0,group_id=0,allow_other)
/dev/fuse on /storage/emulated type fuse (rw,lazytime,nosuid,nodev,noexec,noatime,user_id=0,group_id=0,allow_other)
/data/media on /mnt/pass_through/0/emulated type sdcardfs (rw,nosuid,nodev,noexec,noatime,fsuid=1023,fsgid=1023,gid=9997,multiuser,mask=7,derive_gid,default_normal)
/data/media on /mnt/androidwritable/0/emulated/0/Android/data type sdcardfs (rw,nosuid,nodev,noexec,noatime,fsuid=1023,fsgid=1023,gid=1015,multiuser,mask=6,derive_gid,default_normal)
/data/media on /mnt/installer/0/emulated/0/Android/data type sdcardfs (rw,nosuid,nodev,noexec,noatime,fsuid=1023,fsgid=1023,gid=1015,multiuser,mask=6,derive_gid,default_normal)
/data/media on /mnt/user/0/emulated/0/Android/data type sdcardfs (rw,nosuid,nodev,noexec,noatime,fsuid=1023,fsgid=1023,gid=1015,multiuser,mask=6,derive_gid,default_normal)
/data/media on /storage/emulated/0/Android/data type sdcardfs (rw,nosuid,nodev,noexec,noatime,fsuid=1023,fsgid=1023,gid=1015,multiuser,mask=6,derive_gid,default_normal)
/data/media on /mnt/androidwritable/0/emulated/0/Android/obb type sdcardfs (rw,nosuid,nodev,noexec,noatime,fsuid=1023,fsgid=1023,gid=1015,multiuser,mask=6,derive_gid,default_normal)
/data/media on /mnt/user/0/emulated/0/Android/obb type sdcardfs (rw,nosuid,nodev,noexec,noatime,fsuid=1023,fsgid=1023,gid=1015,multiuser,mask=6,derive_gid,default_normal)
/data/media on /storage/emulated/0/Android/obb type sdcardfs (rw,nosuid,nodev,noexec,noatime,fsuid=1023,fsgid=1023,gid=1015,multiuser,mask=6,derive_gid,default_normal)
/data/media on /mnt/installer/0/emulated/0/Android/obb type sdcardfs (rw,nosuid,nodev,noexec,noatime,fsuid=1023,fsgid=1023,gid=9997,multiuser,mask=7,derive_gid,default_normal)
